DATE,USEPUFEARINDX
2003-01-01,95.0930482271094425
2004-01-01,91.4000140082544900
2005-01-01,95.0111834891525000
2006-01-01,125.7340900947792650
2007-01-01,115.1288913236363550
2008-01-01,88.2037014033322425
2009-01-01,72.8650784855457690
2010-01-01,88.2382969401865375
2011-01-01,73.9354751002861200
2012-01-01,71.5340419079117115
2013-01-01,85.5491033291988250
2014-01-01,98.0933818022132650
2015-01-01,126.5646216594428975
2016-01-01,168.0188208507568938
2017-01-01,226.6742296151591825
2018-01-01,167.1999864420124775
2019-01-01,155.8872947440987875
2020-01-01,115.9816037562107350
2021-01-01,122.3337471502635175
2022-01-01,133.5906652190915000
